חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
249,4.80%,0.00%,47289,525,336,189,0,0,0,25967
250,4.80%,0.00%,46953,525,337,188,0,0,0,25505
251,4.80%,0.00%,46616,525,338,186,0,0,0,25041
252,4.80%,0.00%,46278,525,340,185,0,0,0,24576
253,4.80%,0.00%,45939,525,341,184,0,0,0,24109
254,4.80%,0.00%,45598,525,342,182,0,0,0,23639
255,4.80%,0.00%,45255,525,344,181,0,0,0,23169
256,4.80%,0.00%,44912,525,345,180,0,0,0,22696
257,4.80%,0.00%,44567,525,346,178,0,0,0,22221
258,4.80%,0.00%,44220,525,348,177,0,0,0,21745
259,4.80%,0.00%,43872,525,349,175,0,0,0,21267
260,4.80%,0.00%,43523,525,351,174,0,0,0,20787
261,4.80%,0.00%,43173,525,352,173,0,0,0,20305
262,4.80%,0.00%,42821,525,353,171,0,0,0,19821
263,4.80%,0.00%,42467,525,355,170,0,0,0,19336
264,4.80%,0.00%,42113,525,356,168,0,0,0,18848
265,4.80%,0.00%,41756,525,358,167,0,0,0,18359
266,4.80%,0.00%,41399,525,359,166,0,0,0,17868
267,4.80%,0.00%,41040,525,361,164,0,0,0,17375
268,4.80%,0.00%,40679,525,362,163,0,0,0,16880
269,4.80%,0.00%,40317,525,363,161,0,0,0,16383
270,4.80%,0.00%,39954,525,365,160,0,0,0,15884
271,4.80%,0.00%,39589,525,366,158,0,0,0,15384
272,4.80%,0.00%,39223,525,368,157,0,0,0,14881
273,4.80%,0.00%,38855,525,369,155,0,0,0,14377
274,4.80%,0.00%,38486,525,371,154,0,0,0,13870
275,4.80%,0.00%,38115,525,372,152,0,0,0,13362
276,4.80%,0.00%,37743,525,374,151,0,0,0,12852
277,4.80%,0.00%,37369,525,375,149,0,0,0,12339
278,4.80%,0.00%,36994,525,377,148,0,0,0,11825
